source_character,replacement_character,unicode_name
h,ḥ,LATIN SMALL LETTER H WITH DOT BELOW
h,ħ,LATIN SMALL LETTER H WITH STROKE
h,𝗁,MATHEMATICAL SANS-SERIF SMALL H
i,і,CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
i,í,LATIN SMALL LETTER I WITH ACUTE
i,ĭ,LATIN SMALL LETTER I WITH BREVE
i,ǐ,LATIN SMALL LETTER I WITH CARON
i,î,LATIN SMALL LETTER I WITH CIRCUMFLEX
i,ï,LATIN SMALL LETTER I WITH DIAERESIS
i,ị,LATIN SMALL LETTER I WITH DOT BELOW
i,ì,LATIN SMALL LETTER I WITH GRAVE
i,ī,LATIN SMALL LETTER I WITH MACRON
i,į,LATIN SMALL LETTER I WITH OGONEK
i,ĩ,LATIN SMALL LETTER I WITH TILDE
i,𝗂,MATHEMATICAL SANS-SERIF SMALL I
i,ⅰ,SMALL ROMAN NUMERAL ONE
j,ј,CYRILLIC SMALL LETTER JE
j,ϳ,GREEK LETTER YOT
j,ǰ,LATIN SMALL LETTER J WITH CARON
j,ĵ,LATIN SMALL LETTER J WITH CIRCUMFLEX
j,𝗃,MATHEMATICAL SANS-SERIF SMALL J
k,ḱ,LATIN SMALL LETTER K WITH ACUTE
k,ǩ,LATIN SMALL LETTER K WITH CARON
k,ķ,LATIN SMALL LETTER K WITH CEDILLA
k,ḳ,LATIN SMALL LETTER K WITH DOT BELOW
k,ĸ,LATIN SMALL LETTER KRA
k,𝗄,MATHEMATICAL SANS-SERIF SMALL K
l,ا,ARABIC LETTER ALEF
l,ﺍ,ARABIC LETTER ALEF ISOLATED FORM
l,𞸀,ARABIC MATHEMATICAL ALEF
l,ӏ,CYRILLIC SMALL LETTER PALOCHKA
l,ĺ,LATIN SMALL LETTER L WITH ACUTE
l,ľ,LATIN SMALL LETTER L WITH CARON
l,ļ,LATIN SMALL LETTER L WITH CEDILLA
l,ḷ,LATIN SMALL LETTER L WITH DOT BELOW
l,ŀ,LATIN SMALL LETTER L WITH MIDDLE DOT
l,ł,LATIN SMALL LETTER L WITH STROKE
l,ⅼ,SMALL ROMAN NUMERAL FIFTY
m,ṁ,LATIN SMALL LETTER M WITH DOT ABOVE
m,ṃ,LATIN SMALL LETTER M WITH DOT BELOW
m,𝗆,MATHEMATICAL SANS-SERIF SMALL M
m,ⅿ,SMALL ROMAN NUMERAL ONE THOUSAND
n,ո,ARMENIAN SMALL LETTER VO
n,ń,LATIN SMALL LETTER N WITH ACUTE
n,ň,LATIN SMALL LETTER N WITH CARON
n,ņ,LATIN SMALL LETTER N WITH CEDILLA
n,ṅ,LATIN SMALL LETTER N WITH DOT ABOVE
n,ṇ,LATIN SMALL LETTER N WITH DOT BELOW
n,ñ,LATIN SMALL LETTER N WITH TILDE
n,𝗇,MATHEMATICAL SANS-SERIF SMALL N
o,օ,ARMENIAN SMALL LETTER OH
o,о,CYRILLIC SMALL LETTER O
o,ο,GREEK SMALL LETTER OMICRON
o,ᴏ,LATIN LETTER SMALL CAPITAL O
o,ó,LATIN SMALL LETTER O WITH ACUTE
o,ŏ,LATIN SMALL LETTER O WITH BREVE
o,ǒ,LATIN SMALL LETTER O WITH CARON
o,ô,LATIN SMALL LETTER O WITH CIRCUMFLEX
o,ö,LATIN SMALL LETTER O WITH DIAERESIS
o,ọ,LATIN SMALL LETTER O WITH DOT BELOW
o,ő,LATIN SMALL LETTER O WITH DOUBLE ACUTE
o,ò,LATIN SMALL LETTER O WITH GRAVE
o,ō,LATIN SMALL LETTER O WITH MACRON
o,õ,LATIN SMALL LETTER O WITH TILDE
o,𝗈,MATHEMATICAL SANS-SERIF SMALL O
p,р,CYRILLIC SMALL LETTER ER
p,ṕ,LATIN SMALL LETTER P WITH ACUTE
p,ṗ,LATIN SMALL LETTER P WITH DOT ABOVE
p,𝗉,MATHEMATICAL SANS-SERIF SMALL P
q,զ,ARMENIAN SMALL LETTER ZA
q,ԛ,CYRILLIC SMALL LETTER QA
q,𝗊,MATHEMATICAL SANS-SERIF SMALL Q
r,ŕ,LATIN SMALL LETTER R WITH ACUTE
r,ř,LATIN SMALL LETTER R WITH CARON
r,ŗ,LATIN SMALL LETTER R WITH CEDILLA
r,ṙ,LATIN SMALL LETTER R WITH DOT ABOVE
r,ṛ,LATIN SMALL LETTER R WITH DOT BELOW
r,ȓ,LATIN SMALL LETTER R WITH INVERTED BREVE
r,𝗋,MATHEMATICAL SANS-SERIF SMALL R
s,ѕ,CYRILLIC SMALL LETTER DZE
s,ꜱ,LATIN LETTER SMALL CAPITAL S
s,ś,LATIN SMALL LETTER S WITH ACUTE
s,š,LATIN SMALL LETTER S WITH CARON
s,ş,LATIN SMALL LETTER S WITH CEDILLA
s,ŝ,LATIN SMALL LETTER S WITH CIRCUMFLEX
s,ș,LATIN SMALL LETTER S WITH COMMA BELOW
s,ṡ,LATIN SMALL LETTER S WITH DOT ABOVE
s,ṣ,LATIN SMALL LETTER S WITH DOT BELOW
s,𝗌,MATHEMATICAL SANS-SERIF SMALL S
t,ť,LATIN SMALL LETTER T WITH CARON
t,ţ,LATIN SMALL LETTER T WITH CEDILLA
t,ț,LATIN SMALL LETTER T WITH COMMA BELOW
t,ṫ,LATIN SMALL LETTER T WITH DOT ABOVE
t,ṭ,LATIN SMALL LETTER T WITH DOT BELOW
t,ŧ,LATIN SMALL LETTER T WITH STROKE
t,𝗍,MATHEMATICAL SANS-SERIF SMALL T
u,ս,ARMENIAN SMALL LETTER SEH
u,ú,LATIN SMALL LETTER U WITH ACUTE
u,ŭ,LATIN SMALL LETTER U WITH BREVE
u,ǔ,LATIN SMALL LETTER U WITH CARON
u,û,LATIN SMALL LETTER U WITH CIRCUMFLEX
u,ü,LATIN SMALL LETTER U WITH DIAERESIS
u,ụ,LATIN SMALL LETTER U WITH DOT BELOW
u,ű,LATIN SMALL LETTER U WITH DOUBLE ACUTE
u,ù,LATIN SMALL LETTER U WITH GRAVE
u,ū,LATIN SMALL LETTER U WITH MACRON
u,ų,LATIN SMALL LETTER U WITH OGONEK
u,ů,LATIN SMALL LETTER U WITH RING ABOVE
u,ũ,LATIN SMALL LETTER U WITH TILDE
u,𝗎,MATHEMATICAL SANS-SERIF SMALL U
v,ᴠ,LATIN LETTER SMALL CAPITAL V
v,ṿ,LATIN SMALL LETTER V WITH DOT BELOW
v,ṽ,LATIN SMALL LETTER V WITH TILDE
v,𝗏,MATHEMATICAL SANS-SERIF SMALL V
v,ⅴ,SMALL ROMAN NUMERAL FIVE
w,ԝ,CYRILLIC SMALL LETTER WE
w,ᴡ,LATIN LETTER SMALL CAPITAL W
w,ẃ,LATIN SMALL LETTER W WITH ACUTE
w,ŵ,LATIN SMALL LETTER W WITH CIRCUMFLEX
w,ẅ,LATIN SMALL LETTER W WITH DIAERESIS
w,ẇ,LATIN SMALL LETTER W WITH DOT ABOVE
w,ẉ,LATIN SMALL LETTER W WITH DOT BELOW
w,ẁ,LATIN SMALL LETTER W WITH GRAVE
w,𝗐,MATHEMATICAL SANS-SERIF SMALL W
x,х,CYRILLIC SMALL LETTER HA
x,ẍ,LATIN SMALL LETTER X WITH DIAERESIS
x,ẋ,LATIN SMALL LETTER X WITH DOT ABOVE
x,𝗑,MATHEMATICAL SANS-SERIF SMALL X
x,ⅹ,SMALL ROMAN NUMERAL TEN
y,у,CYRILLIC SMALL LETTER U
y,ý,LATIN SMALL LETTER Y WITH ACUTE
y,ŷ,LATIN SMALL LETTER Y WITH CIRCUMFLEX
y,ÿ,LATIN SMALL LETTER Y WITH DIAERESIS
y,ẏ,LATIN SMALL LETTER Y WITH DOT ABOVE
y,ỵ,LATIN SMALL LETTER Y WITH DOT BELOW
y,𝗒,MATHEMATICAL SANS-SERIF SMALL Y
z,ᴢ,LATIN LETTER SMALL CAPITAL Z
z,ź,LATIN SMALL LETTER Z WITH ACUTE
z,ž,LATIN SMALL LETTER Z WITH CARON
z,ż,LATIN SMALL LETTER Z WITH DOT ABOVE
z,ẓ,LATIN SMALL LETTER Z WITH DOT BELOW
z,𝗓,MATHEMATICAL SANS-SERIF SMALL Z
